YEAR,Midwest Furfest,Anthrocon,Biggest Little Fur Con,Furry Weekend Atlanta,Texas Furry Fiesta,Further Confusion,Eurofurence,RainFurrest,Megaplex,Anthro New England,Confuzzled,Furnal Equinox,Rocky Mountain Fur Con,FurFright,Furpocalypse,Califur,Motor City Furry Con,Furry Connection North,Confurence,Indy Fur Con,FA United,Mephit Furmeet,Conifur Northwest,Confurence East,Duckon Furry Track
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,230,100
1995,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,449,150
1996,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,500,200
1997,0,500,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,68,0,0,250
1998,0,600,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,188,275,0,300
1999,0,804,0,0,0,691,117,0,0,0,0,0,0,0,0,0,0,0,850,0,0,288,330,0,350
2000,388,1128,0,0,0,987,149,0,0,0,0,0,0,0,0,0,0,0,703,0,0,405,310,0,0
2001,511,1457,0,0,0,1114,270,0,0,0,0,0,0,0,0,0,0,0,640,0,0,362,412,0,0
2002,685,1648,0,0,0,1137,240,0,126,0,0,0,0,0,0,0,0,0,580,0,0,392,460,0,0
2003,800,1949,0,0,0,1201,150,0,197,0,0,0,0,160,0,0,0,0,470,0,0,420,523,0,0
2004,959,2411,0,270,0,1411,275,0,357,0,0,0,0,270,0,328,0,0,0,0,0,502,436,0,0
2005,1066,2371,0,500,0,1712,380,0,387,0,0,0,0,320,0,383,0,0,0,0,0,601,525,0,0
2006,1422,2489,0,557,0,1911,405,0,257,0,0,0,0,515,0,434,0,0,0,0,0,630,0,0,0
2007,1690,2849,0,762,0,2062,585,370,185,0,0,0,236,717,0,496,0,0,0,0,310,630,0,0,0
2008,1992,3390,0,1046,0,2423,782,599,255,0,136,0,319,873,0,587,0,372,0,0,381,650,0,0,0
2009,2040,3776,0,1371,542,2587,955,911,425,0,182,0,400,979,0,720,0,727,0,0,0,550,0,0,0
2010,2285,4238,0,1564,780,2770,973,1045,410,0,346,330,526,1284,0,851,0,880,0,350,510,600,0,0,0
2011,2600,4400,0,1621,1034,2801,1066,1420,553,0,499,450,643,1485,0,919,0,1021,0,369,531,546,0,0,0
2012,3216,5179,0,1902,1210,3021,1232,1705,625,0,726,651,863,1500,0,949,0,1179,0,482,629,548,0,0,0
2013,3904,5577,704,2396,1492,3380,1376,2202,821,0,872,750,1006,1500,0,1178,0,1259,0,560,647,478,0,0,0
2014,4571,5861,1442,2488,1884,3560,2015,2586,1281,0,1079,910,1354,0,1200,1206,967,0,0,527,707,455,0,0,0
2015,5606,6389,2443,3252,2425,3527,2095,2704,1472,757,1223,1051,1640,0,1400,1317,1028,0,0,735,658,432,0,0,0
2016,7075,7310,3651,3431,2820,3536,2573,0,1860,965,1451,1322,1677,0,1455,1451,1246,0,0,1010,539,453,0,0,0
2017,8771,7544,5138,4274,3325,3515,2804,0,2430,1384,1645,1587,0,0,1336,1393,1291,0,0,1214,515,461,0,0,0
2018,*,8407,5435,5193,3866,3415,*,0,*,2050,1908,1830,0,0,*,0,1314,0,0,*,*,*,0,0,0
