YEAR,Midwest Furfest,Anthrocon,Biggest Little Fur Con,Furry Weekend Atlanta,Texas Furry Fiesta,Further Confusion,Eurofurence,RainFurrest,Megaplex,Anthro New England,Confuzzled,Furnal Equinox,Rocky Mountain Fur Con,FurFright,Furpocalypse,Califur,Motor City Furry Con,Furry Connection North,Confurence,Indy Fur Con,FA United,Mephit Furmeet,Conifur Northwest,Confurence East,Duckon Furry Track
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6451612903225806,0.0,0.0,0.0,0.0,0.24731182795698925,0.10752688172043011
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.014415781487101669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5311077389984825,0.0,0.0,0.0,0.0,0.34066767830045525,0.11380880121396054
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.01900674432863274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5518087063151441,0.0,0.0,0.0,0.0,0.30656039239730226,0.12262415695892091
1997,0.0,0.2663825253063399,0.0,0.0,0.0,0.0,0.03143313798614811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5327650506126798,0.0,0.0,0.036228023441662226,0.0,0.0,0.13319126265316994
1998,0.0,0.2227998514667657,0.0,0.0,0.0,0.0,0.029706646862235425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4641663572224285,0.0,0.0,0.06981062012625325,0.10211659858893428,0.0,0.11139992573338285
1999,0.0,0.23440233236151603,0.0,0.0,0.0,0.20145772594752187,0.03411078717201166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2478134110787172,0.0,0.0,0.08396501457725948,0.09620991253644315,0.0,0.10204081632653061
2000,0.09533169533169533,0.27714987714987716,0.0,0.0,0.0,0.2425061425061425,0.03660933660933661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17272727272727273,0.0,0.0,0.09950859950859951,0.07616707616707617,0.0,0.0
2001,0.10721779269827948,0.3057070919009652,0.0,0.0,0.0,0.23373898447335292,0.056651279899286616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13428451531682753,0.0,0.0,0.07595467897608058,0.08644565673520772,0.0,0.0
2002,0.1300303720577069,0.3128321943811693,0.0,0.0,0.0,0.21583143507972666,0.04555808656036447,0.0,0.023917995444191344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11009870918754745,0.0,0.0,0.07441154138192863,0.08731966590736523,0.0,0.0
2003,0.1362862010221465,0.33202725724020443,0.0,0.0,0.0,0.20459965928449744,0.02555366269165247,0.0,0.03356047700170358,0.0,0.0,0.0,0.0,0.027257240204429302,0.0,0.0,0.0,0.0,0.08006814310051108,0.0,0.0,0.07155025553662692,0.08909710391822828,0.0,0.0
2004,0.13284388419448678,0.3339797755921873,0.0,0.03740130211940712,0.0,0.19545643440919794,0.038093918825322065,0.0,0.04945283280232719,0.0,0.0,0.0,0.0,0.03740130211940712,0.0,0.045435655908020504,0.0,0.0,0.0,0.0,0.0,0.06953871727386064,0.06039617675578335,0.0,0.0
2005,0.12929047907822924,0.28756822316555486,0.0,0.06064281382656155,0.0,0.20764099454214677,0.04608853850818678,0.0,0.04693753790175864,0.0,0.0,0.0,0.0,0.038811400848999394,0.0,0.04645239539114615,0.0,0.0,0.0,0.0,0.0,0.07289266221952699,0.06367495451788963,0.0,0.0
2006,0.16496519721577727,0.28874709976798146,0.0,0.06461716937354989,0.0,0.22169373549883992,0.04698375870069606,0.0,0.029814385150812066,0.0,0.0,0.0,0.0,0.05974477958236659,0.0,0.05034802784222738,0.0,0.0,0.0,0.0,0.0,0.07308584686774942,0.0,0.0,0.0
2007,0.1551597502754315,0.2615681233933162,0.0,0.06995960337862651,0.0,0.18931325743665076,0.05370914432611091,0.03396988615497613,0.016984943077488063,0.0,0.0,0.0,0.021667278736687477,0.06582813073815645,0.0,0.045538009548292326,0.0,0.0,0.0,0.0,0.028461255967682703,0.05784061696658098,0.0,0.0,0.0
2008,0.14429554509235784,0.24556320173850055,0.0,0.07576964867801521,0.0,0.17551611734878667,0.056646142701919595,0.04339007605939877,0.018471568272365086,0.0,0.009851503078594712,0.0,0.023107569721115537,0.06323795726186164,0.0,0.04252082578775806,0.0,0.026946758420862006,0.0,0.0,0.02759869612459254,0.047084389713871785,0.0,0.0,0.0
2009,0.12619857717290442,0.23359109186514074,0.0,0.08481286730590783,0.03352922981750696,0.16003711722858027,0.05907825549025673,0.056356325394370556,0.02629137024435509,0.0,0.011258892669347355,0.0,0.024744819053510673,0.06056294463346737,0.0,0.04454067429631921,0.0,0.044973708629755645,0.0,0.0,0.0,0.03402412619857717,0.0,0.0,0.0
2010,0.11574308580690913,0.21466923310708136,0.0,0.07922196332691724,0.039509674804984296,0.14030999898693142,0.049285786647756055,0.05293283355283153,0.020767905987235335,0.0,0.017526086516057138,0.016715631648262588,0.026643703778745823,0.06503900314051261,0.0,0.04310606828082261,0.0,0.044575017728700234,0.0,0.017728700233005774,0.025833248910951272,0.030392057542295615,0.0,0.0,0.0
2011,0.11840786956917752,0.20038254850168505,0.0,0.0738227525275526,0.047089898897895985,0.12756170871664085,0.04854722652336278,0.06466891338008926,0.025184443027598143,0.0,0.022725202659622915,0.020493669733126878,0.02928317697422352,0.0676291101193187,0.0,0.04185262774387467,0.0,0.0464978595500501,0.0,0.01680480918116404,0.024182530285089716,0.024865652609527278,0.0,0.0,0.0
