YEAR,Midwest Furfest,Anthrocon,Biggest Little Fur Con,Furry Weekend Atlanta,Texas Furry Fiesta,Further Confusion,Eurofurence,RainFurrest,Megaplex,Anthro New England,Confuzzled,Furnal Equinox,Rocky Mountain Fur Con,FurFright,Furpocalypse,Califur,Motor City Furry Con,Furry Connection North,Confurence,Indy Fur Con,FA United,Mephit Furmeet,Conifur Northwest,Confurence East,Duckon Furry Track
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.24731182795698925,0.14285714285714285
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.017288444040036398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796116504854369,0.0,0.0,0.0,0.0,0.34066767830045525,0.1388888888888889
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.019620253164556962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5928853754940712,0.0,0.0,0.0,0.0,0.30656039239730226,0.12755102040816327
1997,0.0,0.21920210434020165,0.0,0.0,0.0,0.0,0.025552187093980078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5777007510109763,0.0,0.0,0.02860748843079512,0.0,0.0,0.1403705783267827
1998,0.0,0.2635046113306983,0.0,0.0,0.0,0.0,0.034812880765883375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5876821814762576,0.0,0.0,0.06981062012625325,0.10978043912175649,0.0,0.13780431786862654
1999,0.0,0.24830142063001853,0.0,0.0,0.0,0.20419621749408984,0.03572519083969466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2848525469168901,0.0,0.0,0.08533333333333333,0.09620991253644315,0.0,0.11535926170072512
2000,0.09533169533169533,0.3174781874472277,0.0,0.0,0.0,0.2648953301127214,0.04156206415620642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19642358200614696,0.0,0.0,0.1094003241491086,0.0841933731667572,0.0,0.0
2001,0.10721779269827948,0.31784467713787085,0.0,0.0,0.0,0.26542768644269715,0.08634473936680524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1548137397194001,0.0,0.0,0.07971812376128606,0.08873573120827051,0.0,0.0
2002,0.1300303720577069,0.3265953230281411,0.0,0.0,0.0,0.23741908540405096,0.04784688995215311,0.0,0.02563580874872838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11946446961894953,0.0,0.0,0.07768529528339278,0.09030231645072634,0.0,0.0
2003,0.1362862010221465,0.3484090096531999,0.0,0.0,0.0,0.22524381095273818,0.027252906976744186,0.0,0.03646122524523413,0.0,0.0,0.0,0.0,0.02780191138140747,0.0,0.0,0.0,0.0,0.08879652371056111,0.0,0.0,0.07592190889370933,0.0934763181411975,0.0,0.0
2004,0.13284388419448678,0.3530014641288433,0.0,0.04251968503937008,0.0,0.23207236842105264,0.039539899352983465,0.0,0.054838709677419356,0.0,0.0,0.0,0.0,0.03824362606232295,0.0,0.05150753768844221,0.0,0.0,0.0,0.0,0.0,0.07133721756430297,0.06273381294964028,0.0,0.0
2005,0.12929047907822924,0.30416933932007695,0.0,0.06451612903225806,0.0,0.2276595744680851,0.04810126582278481,0.0,0.04974293059125964,0.0,0.0,0.0,0.0,0.0393217006635537,0.0,0.048883216336949586,0.0,0.0,0.0,0.0,0.0,0.07513439179897487,0.06491097922848665,0.0,0.0
2006,0.16496519721577727,0.2914519906323185,0.0,0.06552170332902012,0.0,0.2263145428706774,0.047285464098073555,0.0,0.03070123043841835,0.0,0.0,0.0,0.0,0.058595972238024804,0.0,0.05153170268344811,0.0,0.0,0.0,0.0,0.0,0.07330695834303003,0.0,0.0,0.0
2007,0.1551597502754315,0.2979502196193265,0.0,0.08489304812834225,0.0,0.23509291984950403,0.05613126079447323,0.03612575668814685,0.020777178796046722,0.0,0.0,0.0,0.025646598565529234,0.06748870481927711,0.0,0.05532009814856123,0.0,0.0,0.0,0.0,0.03140194489465154,0.06404391582799634,0.0,0.0,0.0
2008,0.14429554509235784,0.2642244738893219,0.0,0.09066481754355551,0.0,0.2153203590153737,0.061342955757765924,0.04487899902599835,0.021969501163091237,0.0,0.011066807714215966,0.0,0.026248662881593023,0.06465229948900245,0.0,0.04863297431648716,0.0,0.03105434510393188,0.0,0.0,0.02953259437252926,0.05098839033573894,0.0,0.0,0.0
2009,0.12619857717290442,0.24871558424450008,0.0,0.09241035319493125,0.040252506498329,0.18519579067936146,0.06044686372555225,0.05689838236212604,0.027231370538860766,0.0,0.012643278916290378,0.0,0.02559836170485089,0.06074331451262642,0.0,0.04866180048661801,0.0,0.048674343867166577,0.0,0.0,NaN,0.03503407860373272,0.0,0.0,0.0
2010,0.11574308580690913,0.228722543040639,0.0,0.09141387573791572,0.04702761365006632,0.16943968681184243,0.0510546752020149,0.05444977073780742,0.02214540347844874,0.0,0.019855388499942613,0.019508157956963822,0.028218884120171674,0.0658562855823973,0.0,0.04710245198428073,0.0,0.05097902908121886,0.0,0.018430753027909426,0.02843443354148082,0.0314828418511911,0.0,0.0,0.0
2011,0.11840786956917752,0.21205841245361223,0.0,0.08023163729954465,0.051630299096220106,0.14165781621402923,0.05047109511860234,0.06622516556291391,0.02646946199502202,0.0,0.024343838423260804,0.022335831637464634,0.030578276583602817,0.06861340849235319,0.0,0.04463982124641764,0.0,0.05018432047186041,0.0,0.017548031196499905,0.025878454115697645,0.02591731143494565,0.0,0.0,0.0
